ISBN,Título,Género,Autor,Editorial,Número de Páginas,Fecha de Publicación,Sinopsis,Portada,URL
9788417623197,Historia de Drácula,ensayo-literario,Clive Leatherdale,Arpa editores,344,2019,"La imponente figura del conde Dra´cula, su guarida en Transilvania y su poder maligno y sobrenatural impregnan nuestro imaginario colectivo desde la publicacio´n de la obra maestra de Bram Stoker en 1897. Sin embargo, la cri´tica nunca ha prestado demasiada atencio´n ni a los vampiros, ni al conde Dra´cula, ni a su autor. Clive Leatherdale, movido por una gran pasio´n por la novela, se propuso colmar este vaci´o en un libro que explora los ori´genes del vampirismo y su peso en la cultura occidental y propone estimulantes interpretaciones de la novela go´tica por excelencia. Segu´n el autor, Dra´cula puede leerse como una defensa de la imaginacio´n sexual y del psicoana´lisis, como un homenaje al ocultismo, como un retrato metafo´rico de las tensiones sociales y poli´ticas en la Gran Bretan~a victoriana... Historia de Dra´cula, ya considerado un cla´sico en el mundo anglosajo´n, es una compan~i´a imprescindible para todo apasionado del vampiro ma´s ce´lebre de la historia.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9788417623197_4865.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/historia-de-dracula-un-ensayo-sobre-la-obra-maestra-de-bram-stoker-el-conde-dracula-y-los-origenes
9786076352168,Introducción al nuevo sistema de justicia penal,derecho,Juan Plutarco Arcos Martínez,Colofón,142,15 de Marzo 2021,"Este
libro se compone de cuatro capítulos donde se abordan los temas centrales del
nuevo sistema de justicia penal, desde el estudio de los antecedentes del
sistema penal acusatorio, sus principios y características, el análisis en
particular de cada uno de los sujetos procesales, las etapas que integran el
proceso penal acusatorio y oral, para concluir abordando el principio de
presunción de inocencia, como regla de trato procesal, como estándar probatorio
y como criterio para la valoración de las pruebas.
 
Introducción
al Nuevo Sistema de Justicia Penal se dirige a los jóvenes que se adentran en
el estudio del modelo procesal acusatorio, ya que facilitará la comprensión de
esta forma de enjuiciamiento judicial. Pero también puede ser una obra de gran
utilidad para consulta de cualquier persona que desee examinar y tener un claro
conocimiento del proceso penal acusatorio y oral vigente en México, con la seguridad
de que requiera para tal efecto. Asimismo este libro puede servir de sustento
para nuevas investigaciones en el tema, ya que más allá de sus dimensiones
contiene claras referencias para facilitar al lector el ubicar tesis
jurisprudenciales, legislación en materia sustantiva, bases constitucionales y
tratados internacionales sobre los diversos tópicos relacionados con el sistema
de justicia penal.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786076352168_f9b9.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/introduccion-al-nuevo-sistema-de-justicia-penal
9786078670536,Verificación de estructuras conforme a la normatividad,arquitectura,Artemio Quintino Zepeda,Arquinza,98,30 de Agosto 2021,"El participante adquirirá los fundamentos básicos para
verificar la estructura de una obra civil o inmueble, con fundamentos basados
en la normatividad vigente, procedimientos administrativos, y parámetros
cuantitativos tecnológicos pertinentes.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786078670536_1ea3.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/verificacion-de-estructuras-conforme-a-la-normatividad
9788417752200,Comiendo en las calles de asia,gastronomia,Alejandro Zurdo,Grijalbo,224,14 de Febrero 2020,"Street Food en un viaje único por el sudeste asiático.Un libro de recetas, ingredientes, técnicas y trucos, pero también unas memorias gastronómicas callejeras: la compilación de las vivencias que el cocinero Alex Zurdo tuvo viajando por Vietnam, Camboya, Tailandia y Malasia durante diez meses.Aquí encontrarás:- Un relato personal, ameno y desenfadado. Y, al mismo tiempo, riguroso y profesional.- Más de 60 recetas recogidas sobre el terreno -de amas de casa, profesores, amigos...-, que nos trasladan a las cocinas más diversas del continente vecino.- Un libro con fotografías espectaculares hechas por el propio viajero.La idea de escribir este libro la concebí en un lugar y un momento precisos, concretamente frente a una cerveza en un bar de Dunlop Street en Singapur. Era el año 2006 y acababa de volver de un viaje infernal por la isla de Flores en Indonesia. Llevaba tres años recopilando recetas durante mis viajes por Asia, sin saber muy bien qué hacer con ellas. Entre sorbo y sorbo pensé dos cosas: que sería bueno reunirlas en un libro y que, en realidad, mi conocimiento de las cocinas del sudeste asiático era todavía escaso. Así que decidí realizar un viaje desde Hanói a Singapur, sin prisas y con el tiempo necesario para profundizar y poder escribir luego con coherencia sobre el tema.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788417752200_2bdc.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/comiendo-en-las-calles-de-asia
9786070935220,Los Linchamientos,derecho,Pedro José Peñaloza,Porrúa,120,06 de Febrero 2020,"El texto
deconstruye y resignifica el desarrollo de las ciudades, rescatando los
factores que les dieron origen y los diversos detonantes que favorecieron las
conductas violentas y transformaron los antiguos espacios y refugios para la
convivencia comunitaria y la cohesión social en zonas de riesgo y de alta
conflictividad social. La obra realiza un recorrido histórico por las
crecientes fracturas sociales que específicamente se han presentado en
América Latina y que la han colocado como una de las regiones más violentas
del planeta. Tras determinar los diversos rasgos de la violencia en América
Latina, el texto caracteriza el tema de los linchamientos como un dramático
ejemplo tanto de la ausencia del Estado como de los crecientes procesos de
desesperación social que se suscitan en amplios segmentos de la población de
México y de otros países de la región. El aporte nuclear de la obra es que en
un panorama de muy escasa información oficial y de datos dispersos por el
país logra explorar y sistematizar el fenómeno de los linchamientos. El libro
indaga las múltiples causas que conducen a los linchamientos, y al mismo
tiempo hace un serio y sistemático llamado a atacar las causas que los
originan.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786070935220_c15a.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/los-linchamientos
9783791387123,BUILDINGS IN PRINT: 100 INFLUENTIAL & INSPIRING ILLUSTRATED ARCHITECTURE BOOKS,arquitectura,John Hill,Prestel,304,25 de Enero 2022,"The author, John Hill, is the founder of the hugely influential architecture blog A Daily Dose of Architecture, which recently shifted course to focus entirely on architecture books of all kinds. His selection for this volume spans centuries, continents, and genres to include Le Corbusier's Towards a New Architecture, Project Japan by Rem Koolhaas, Atlas of Another America: An Architectural Fiction by Keith Krumwiede, X-Ray Architecture by Beatriz Colomina and Thomas Wolfe's From Bauhaus to Our House. The books selected are organized into the categories of Manifestos, Histories, Education, Housing, Monographs, Buildings, Exhibitions, Building Cities, and Critiques, and each one has a reproduction of the book's cover along with selected spreads which are accompanied by Hill's informed, personal, and engaging take on what makes the title unique and indispensable. In addition, sidebar ""Top 10"" lists from many of today's leading critics and architects are scattered throughout. Capturing the best of Hill's insightful and curious mind, this invaluable resource will broaden the world of anyone interested in the field of architecture- and provide irrefutable arguments for these works' continued relevance.","https://www.gandhi.com.mx/media/catalog/product/9/7/9783791387123_2c61.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/buildings-in-print-100-influential-inspiring-illustrated-architecture-books
9788445007464,Green Town 1: El vino del estío,ciencia-ficcion,Ray Bradbury,Minotauro,320,14 de Agosto 2020,"En tres prodigiosos meses de 1928, Douglas Spaulding observa, escucha y saborea las sorpresas rituales de un verano especial: el descubrimiento de la vida y la muerte, el último tranvía, la aparición de las hamacas en los porches, la cosecha del vino del estío... pero su verano también está lleno de máquinas extraordinarias y magia misteriosa. . Miniserie de dos entregas, que se publicarán simultáneamente en mayo. Ningún otro escritor desde Mark Twain ha descrito la vitalidad y la inocencia de una pequeña ciudad americana con tan fina y madura percepción. Saturday Review.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788445007464_6ada.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/green-town-1-el-vino-del-estio
9788495749307,"Deseo carnal. Alaska y Dinarama, mil campanas",arte-ii,Marcos Gendre,Efe Eme,200,21 de Marzo 2022,"1984 fue el año de Deseo carnal, un tesoro de músicas entre alta y baja cultura. Pura provocación de Alaska y Dinarama, un álbum donde conviven boleros con híbridos de Bowie y Baudelaire, mientras el Sonido Filadelfia abriga golpes de genio inspirados en los Clash. Nunca la imaginación del tándem formado por Carlos Berlanga y Nacho Canut llegó tan lejos. Por el camino, “Un hombre de verdad” y “Ni tú ni nadie” cumplieron una función social tan relevante como las películas de Almodóvar. La Movida fue mucho más que una oda a la frivolidad. Este disco no solo lo certificó, sino que fue uno de los imprescindibles de los años ochenta. A lo largo de una veintena de entrevistas, este libro, como un documental sobre papel, con voz en off del autor, recorre la infancia, adolescencia y madurez de músicos, DJs, periodistas e íntimos del grupo, para los que Deseo carnal fue una iluminación en sus vidas.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9788495749307_15b7.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/deseo-carnal-alaska-y-dinarama-mil-campanas
9788481915303,"El cisma soterrado: El mensaje cristiano, la sociedad moderna y la Iglesia Católica",filosofia,Pietro Prini,Pre-textos,138,15 de Marzo 2003,"El cisma soterrado es el breve y fulminante ensayo de un filósofo católico quien desea que la fe cristiana sobreviva a la rigidez institucional de la iglesia, al clericalismo y al fundamentalismo de amplios sectores del stablishment católico italiano. Pietro Prini parte de un dato que la jerarquía finge, de hecho, ignorar: más allá de los triunfos aparentes, en la Iglesia existe, sin duda, un ""cisma soterrado"", pues está creando una escisión profunda, puede que irrecuperable, entre la doctrina oficial y la conciencia de los fieles. Examina, aquí, todas las causas de esta profunda fractura, confrontando el cristianismo y su mensaje de libertad y de esperanza con la sensibilidad y las exigencias del mundo contemporáneo. La publicación de este ensayo suscitó en Italia una polémica que llegó a despertar el interés de los más destacados rotativos nacionales: alguna de las intervenciones más significativas de este debate son retomadas en el Apéndice al presente volumen.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788481915303.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/el-cisma-soterrado-el-mensaje-cristiano-la-sociedad-moderna-y-la-iglesi-acatol
9786079457273,Ensayos sobre el humor y la crítica en la literatura y la filosofía modernas,ensayo-literario,Carmen Álvarez Lobato,Matadero,184,02 de Septiembre 2021,"Este libro otorga un panorama profundo sobre el humor como crítica. Los ensayos que lo integran se centran en el diálogo entre la filosofía contemporánea y la literatura hispanoamericana en torno a la función crítica del humor, o de géneros o tropos asociados a la función humorística. La parodia no como un género exclusivamente lúdico, sino como copia que pone en duda el carácter absoluto de los discursos hegemónicos y de la ausencia de un original ontológico. Ensayos de Carmen Álvarez Lobato, María Luisa Bacarlett Pérez, Laura Judith Becerril Nava, Jesús Dávila, Natali González Fernández, Óscar Javier González Molina, Elsa López Arriaga y Esteban Sierra Montiel.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786079457273_7490.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/ensayos-sobre-el-humor-y-la-critica-en-la-literatura-y-la-filosofia-modernas
